,PlayerID,PlayerName,Age,Rating in Scale 100,Potential in Scale 100,BestOverall,BestPosition,MarketValue,WeeklyWage,ReleaseClause,AttackingSkills,SkillAttributes,MovementSkills,PowerSkills,MentalAttributes,DefendingSkills,GoalkeepingSkills,TotalStats,BaseStats,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,InternationalReputation,PopularityHits
4003,245572,N. Rasskazov,22,71,79,71,RB,€4M,€24K,€5.6M,284,286,351,284,268,212,53,1738,382,2 ★,2★,Medium,Medium,1 ★,14
4004,213317,Kim Jin Su,28,71,71,71,LB,€1.7M,€22K,€3.4M,246,328,384,300,312,203,48,1821,387,3 ★,3★,Medium,Medium,1 ★,4
4005,213829,A. Cerri,24,71,77,73,ST,€3M,€19K,€6.3M,323,284,290,368,246,115,51,1677,363,3 ★,3★,Medium,Medium,1 ★,17
4006,188485,D. Polenta,28,71,44,72,CB,€1.8M,€850,€5.2M,237,271,313,343,287,209,48,1708,375,3 ★,2★,Medium,High,1 ★,8
4007,204102,Y. Ayoub,26,71,73,74,LM,€2.3M,€600,€6.4M,330,363,373,315,352,204,59,1996,418,3 ★,3★,Medium,Medium,1 ★,3
4008,234054,C. Cáceda,28,71,71,71,GK,€1.3M,€500,€3.7M,61,72,209,213,83,40,346,1024,375,2 ★,1★,Medium,Medium,1 ★,6
4009,207431,Insua,26,71,74,73,CB,€2.2M,€14K,€5.9M,250,236,285,267,266,218,49,1571,335,3 ★,2★,Medium,Medium,1 ★,8
4010,198218,Marcelo Cirino,28,71,71,72,ST,€1.9M,€10K,€3.7M,334,285,368,355,286,85,56,1769,382,4 ★,3★,Medium,Medium,1 ★,5
4011,211527,Álex Gallar,28,71,71,71,RM,€1.9M,€8K,€0,329,369,355,339,276,119,60,1847,392,4 ★,3★,High,Medium,1 ★,10
4012,225863,O. Boscagli,22,71,79,73,CB,€3.9M,€9K,€5.1M,259,287,338,275,300,213,49,1721,374,4 ★,3★,Medium,High,1 ★,101
4013,232775,A. Esaka,28,71,42,71,CAM,€1.9M,€8K,€3M,338,336,380,350,316,149,41,1910,406,4 ★,3★,High,Medium,1 ★,3
4014,233800,F. Bjørkan,21,71,78,71,LB,€3.6M,€3K,€4.4M,270,267,371,314,291,202,53,1768,388,2 ★,3★,High,Medium,1 ★,41
4015,234824,Y. Wissa,23,71,77,72,ST,€3M,€16K,€7M,316,288,398,353,280,66,50,1751,383,3 ★,3★,High,Medium,1 ★,7
4016,239432,A. Grbic,23,42,54,73,ST,€3M,€18K,€7.3M,319,312,335,350,270,56,52,1694,361,4 ★,2★,High,Medium,1 ★,24
4017,179528,Xavi Torres,33,71,71,71,CDM,€925K,€6K,€1.9M,297,318,290,358,345,193,51,1852,381,3 ★,2★,Medium,Medium,1 ★,7
4018,190536,O. Martínez,34,71,71,72,CM,€875K,€6K,€2M,327,366,321,354,359,174,47,1948,396,4 ★,3★,Medium,Medium,1 ★,11
4019,177481,L. Baal,34,71,71,71,LB,€700K,€11K,€1.7M,308,300,317,313,312,213,65,1828,379,3 ★,2★,High,Medium,2 ★,4
4020,223054,C. Penilla,29,42,71,71,LM,€1.8M,€6K,€3.5M,324,329,376,338,270,72,58,1767,375,3 ★,3★,High,Medium,1 ★,11
4021,205124,Edigar Junio,29,71,71,72,RW,€1.9M,€10K,€3.1M,331,318,392,340,281,54,64,1780,381,4 ★,3★,Medium,Medium,1 ★,13
4022,184643,J. Villafaña,30,71,71,71,LB,€1.6M,€5K,€2.9M,311,318,377,315,304,196,56,1877,401,3 ★,3★,High,Medium,1 ★,3
4023,243526,M. Müldür,21,71,82,71,RB,€4M,€13K,€7M,287,284,375,337,253,201,37,1774,393,4 ★,2★,High,Medium,1 ★,76
4024,215117,L. Desábato,30,71,71,71,CDM,€1.6M,€6K,€2.6M,283,318,337,358,304,204,39,1843,395,3 ★,3★,Medium,Medium,1 ★,3
4025,193098,C. Clemens,28,71,71,71,RM,€1.9M,€18K,€4.3M,340,349,359,344,295,146,55,1888,399,3 ★,3★,Medium,Medium,2 ★,7
4026,243019,T. Băluță,21,71,82,72,CDM,€4M,€21K,€8M,192,256,282,371,250,214,38,1603,358,2 ★,2★,Medium,High,1 ★,71
4027,185163,L. Rossettini,35,42,71,71,CB,€500K,€15K,€1.3M,228,240,276,327,253,216,25,1565,335,2 ★,2★,Medium,High,2 ★,9
4028,189003,G. Belaud,33,71,71,71,RB,€975K,€6K,€1.9M,287,317,335,328,320,216,61,1864,390,3 ★,2★,High,Medium,1 ★,6
4029,233292,M. Barbieri,26,42,74,73,CB,€2.2M,€13K,€4.6M,219,211,304,303,256,208,53,1554,333,2 ★,2★,Low,Medium,1 ★,10
4031,200778,C. Christie,27,71,71,71,RB,€1.8M,€47K,€0,287,293,353,335,312,201,55,1836,408,2 ★,3★,High,Medium,1 ★,19
4032,209997,K. Wimmer,27,71,73,73,CB,€2M,€17K,€4.9M,232,250,285,269,277,214,61,1588,344,3 ★,2★,Medium,Medium,2 ★,19
4033,219469,S. Perica,24,71,76,73,ST,€2.9M,€12K,€6M,319,260,305,344,281,60,63,1632,347,2 ★,3★,Medium,Medium,1 ★,21
4034,230478,Jairinhazo,20,42,71,72,RM,€2.1M,€7K,€4.9M,320,365,390,236,297,114,50,1772,368,4 ★,4★,Medium,Medium,1 ★,9
4035,228173,Ricardo Lopes,29,71,71,71,LW,€1.8M,€10K,€3.7M,329,336,359,361,303,102,52,1842,397,4 ★,4★,High,Low,1 ★,9
4036,229453,Gil Dias,23,71,76,73,CAM,€2.8M,€24K,€0,317,332,363,330,308,164,45,1859,401,4 ★,4★,High,High,1 ★,18
4037,236621,P. Hamel,26,71,74,73,ST,€2.5M,€20K,€6.2M,334,262,319,363,262,66,64,1670,348,3 ★,3★,Medium,Medium,1 ★,6
4038,176717,P. Karlsson,34,71,71,71,CB,€600K,€6K,€1.1M,219,206,327,319,258,220,63,1612,345,3 ★,2★,Low,High,1 ★,3
4039,215886,D. Kreilach,31,71,71,73,CM,€1.6M,€6K,€3M,342,360,305,413,346,184,52,2002,409,3 ★,3★,High,Medium,1 ★,1
4040,221774,Fernando Karanga,29,71,71,71,ST,€1.9M,€11K,€3.7M,318,275,283,357,286,76,51,1646,351,3 ★,3★,High,Low,1 ★,2
4041,230474,Macarinho Louro,20,71,71,71,LM,€2.1M,€7K,€4.9M,316,335,389,280,246,89,52,1707,367,3 ★,4★,Medium,Medium,1 ★,3
4042,198474,Guitián,29,71,71,71,CB,€1.6M,€7K,€3.2M,245,265,331,333,281,208,58,1721,372,3 ★,2★,Low,Medium,1 ★,4
4043,201290,R. Žulj,28,71,71,71,CAM,€1.9M,€13K,€3.8M,346,356,285,380,288,111,50,1816,373,3 ★,3★,Medium,Medium,1 ★,6
4044,240730,K. Zohi,23,71,80,72,RM,€4.2M,€16K,€7.9M,329,310,371,326,248,64,53,1701,368,3 ★,3★,High,High,1 ★,29
4045,172649,O. Kaya,34,71,71,71,RM,€875K,€10K,€1.8M,323,366,343,313,310,91,50,1796,361,3 ★,3★,Medium,Medium,1 ★,7
4046,206167,S. Prcić,26,71,73,73,CM,€2.3M,€18K,€5.8M,308,356,319,320,336,207,59,1905,399,4 ★,3★,Medium,Medium,1 ★,5
4047,230480,Raphael Paneira,20,71,42,71,CAM,€2.1M,€13K,€4.9M,331,318,315,289,278,109,50,1690,357,4 ★,4★,Medium,Medium,1 ★,3
4048,208470,F. Holland,29,71,71,71,LB,€1.6M,€13K,€3.2M,266,322,368,326,278,213,58,1831,384,2 ★,3★,High,High,1 ★,4
4050,254544,Reinier,18,71,87,73,CAM,€4.8M,€30K,€0,322,335,379,326,296,129,50,1837,397,4 ★,4★,High,Medium,1 ★,515
4051,235345,G. Iancu,26,71,72,71,RW,€2.2M,€8K,€4M,338,343,347,352,291,95,45,1811,381,3 ★,3★,Medium,Low,1 ★,5
4052,234578,L. Reyes,29,71,71,71,LB,€1.6M,€22K,€3.4M,277,295,358,347,286,200,53,1816,387,3 ★,3★,High,High,1 ★,13
4053,246098,Vítor Tormena,24,42,75,73,CB,€2.4M,€8K,€5.8M,257,254,254,269,265,222,39,1560,351,2 ★,2★,Medium,High,1 ★,6
4054,200275,Y. Mokhtar,28,42,71,71,LM,€1.9M,€6K,€3.6M,319,358,377,299,286,108,38,1785,380,2 ★,3★,Medium,Medium,1 ★,9
4055,201043,B. Dejaegere,29,42,71,71,CM,€1.8M,€15K,€0,315,348,379,360,349,200,41,1992,415,4 ★,4★,High,High,1 ★,5
4056,204372,E. Başsan,28,71,42,71,RM,€1.9M,€10K,€4.7M,324,357,378,332,271,57,57,1776,368,2 ★,3★,Medium,Medium,1 ★,2
4057,219988,F. Avenatti,27,71,72,72,ST,€2.2M,€12K,€4.4M,334,355,257,339,324,111,39,1759,374,3 ★,3★,High,High,1 ★,11
4058,230484,Adrián Burnabão,24,71,71,71,CAM,€2.2M,€13K,€4.9M,319,363,340,345,289,59,53,1768,361,4 ★,4★,High,Medium,1 ★,2
4059,244308,G. Fuentes,23,71,80,71,LB,€4M,€2K,€5.3M,261,256,367,316,299,197,53,1749,392,3 ★,2★,Medium,Medium,1 ★,24
4060,247124,G. Mensah,21,71,78,71,LB,€3.6M,€11K,€0,310,318,367,318,294,201,48,1856,393,2 ★,3★,Medium,Medium,1 ★,19
4061,221269,J. Riedewald,23,42,74,73,CB,€2.3M,€24K,€5.3M,302,282,321,315,301,215,61,1797,388,2 ★,3★,Medium,Medium,1 ★,58
4062,225877,B. Medina,32,71,71,71,GK,€925K,€500,€3M,91,87,254,222,106,55,343,1158,390,2 ★,1★,Medium,Medium,1 ★,5
4063,204886,P. Gouano,26,42,73,73,CB,€2M,€5K,€4.7M,213,223,288,285,239,212,60,1520,334,2 ★,2★,Medium,High,1 ★,7
4064,224336,T. Romanczuk,28,71,71,71,CDM,€1.6M,€7K,€2.8M,296,291,334,373,340,206,58,1898,402,3 ★,2★,High,High,1 ★,1
4065,230451,Dinei Peixo,24,42,71,71,RW,€2.2M,€21K,€4.9M,334,345,365,346,343,177,68,1978,414,4 ★,2★,Medium,Medium,1 ★,1
4066,210259,A. Hassan,27,71,72,72,ST,€2.2M,€1K,€6.1M,313,291,272,331,320,68,62,1657,350,3 ★,3★,Medium,Low,1 ★,7
4067,234575,Diogo Leite,21,71,82,73,CB,€3.9M,€6K,€8.4M,229,219,299,305,249,214,40,1555,341,3 ★,2★,Low,High,1 ★,107
4068,199511,W. Lautoa,32,42,71,71,CDM,€1.2M,€9K,€3.2M,233,248,272,333,287,209,49,1631,342,3 ★,2★,Low,High,1 ★,6
4069,206171,Júnior Urso,31,71,71,73,CDM,€1.5M,€6K,€3M,289,295,342,367,322,214,55,1884,413,3 ★,3★,Medium,High,1 ★,6
4070,230231,Jorge Carvallinho,24,71,42,71,CB,€1.9M,€11K,€4.4M,287,273,279,328,295,214,58,1734,369,3 ★,2★,Medium,Medium,1 ★,2
4071,253271,T. Cardozo,23,71,79,71,GK,€3.6M,€500,€6.5M,71,81,203,235,98,45,348,1081,386,2 ★,1★,Medium,Medium,1 ★,24
4072,201304,B. Kadrii,28,71,71,72,ST,€1.9M,€21K,€4M,319,327,399,372,332,155,55,1959,419,3 ★,3★,High,Medium,1 ★,7
4073,219736,E. Horvath,25,71,75,71,GK,€2M,€11K,€3.4M,86,101,255,220,109,31,339,1141,388,3 ★,1★,Medium,Medium,1 ★,221
4074,242776,K. Anzai,25,42,76,72,RWB,€2.6M,€5K,€6.1M,280,327,394,321,278,196,51,1847,400,5 ★,3★,High,High,1 ★,18
4075,246104,R. Gravenberch,18,71,87,74,CAM,€4.7M,€4K,€9.7M,322,352,361,344,304,165,49,1897,409,3 ★,3★,Medium,Medium,1 ★,943
4076,186456,J. van der Heijden,32,71,71,72,CDM,€1.2M,€7K,€2.3M,306,361,256,343,337,215,44,1862,378,3 ★,3★,Medium,Medium,1 ★,6
4077,225114,M. Mahi,26,71,74,74,CAM,€2.5M,€12K,€4.7M,335,354,368,340,314,93,52,1856,392,4 ★,4★,Medium,Low,1 ★,11
4078,183382,G. Mandjeck,31,71,71,71,CDM,€1.3M,€7K,€2.6M,280,301,351,329,309,206,59,1835,398,3 ★,2★,Medium,High,1 ★,3
4079,214366,R. Carrascal,27,71,72,72,CM,€2.1M,€2K,€4M,272,328,340,352,327,196,47,1862,397,3 ★,2★,Medium,Medium,1 ★,7
4080,230235,Alex das Freitas,20,71,71,71,CDM,€1.9M,€10K,€4.6M,272,299,332,348,288,221,54,1814,387,3 ★,2★,Medium,High,1 ★,3
4081,176731,P. Wernbloom,34,71,71,72,CB,€650K,€3K,€1.1M,318,286,261,324,352,216,58,1815,388,3 ★,3★,Medium,High,2 ★,9
4082,253275,J. Trindade,26,71,44,71,LB,€2M,€800,€5.5M,269,291,346,297,278,201,55,1737,381,3 ★,2★,Medium,High,1 ★,8
4083,202076,Z. Valentin,28,71,71,71,RB,€1.7M,€6K,€2.9M,278,290,332,326,291,213,57,1787,391,4 ★,3★,High,High,1 ★,10
4084,240988,D. Vavro,24,71,78,73,CB,€3.5M,€24K,€5.7M,241,235,302,347,291,209,64,1689,368,3 ★,2★,Medium,Medium,1 ★,34
4085,208719,P. Kühn,27,71,72,71,GK,€1.6M,€7K,€3.1M,82,101,229,246,104,41,358,1161,407,3 ★,1★,Medium,Medium,1 ★,4
4086,241501,A. Bareiro,31,71,71,71,RM,€1.6M,€800,€4.6M,286,313,399,271,278,96,55,1698,363,2 ★,3★,High,Medium,1 ★,1
4087,212830,A. Mabil,24,71,74,73,RM,€2.6M,€17K,€4.1M,283,317,407,303,272,87,71,1740,375,3 ★,4★,Medium,Low,1 ★,39
4088,177482,M. Coutadeur,34,71,71,71,CDM,€650K,€5K,€1.6M,318,352,349,363,354,192,43,1971,403,4 ★,3★,Medium,Medium,2 ★,3
4089,238922,M. Kaye,25,71,76,73,CM,€2.7M,€6K,€4.9M,302,308,343,331,323,199,45,1851,407,3 ★,3★,Medium,High,1 ★,28
4090,235338,Marlon,23,71,77,72,LWB,€2.8M,€15K,€6.4M,289,363,365,340,292,200,53,1902,409,2 ★,3★,High,Medium,1 ★,23
4092,194146,K. Long,29,71,71,71,CB,€1.6M,€29K,€3.8M,227,236,277,304,275,214,44,1577,338,2 ★,2★,Low,Medium,1 ★,4
4093,215651,Samir,25,71,75,73,CB,€2.3M,€10K,€5.1M,245,237,274,282,272,222,61,1593,351,2 ★,2★,Medium,High,1 ★,12
4094,173155,A. Barillà,32,71,71,72,CM,€1.5M,€4K,€2.9M,329,343,394,369,325,211,50,2021,431,3 ★,3★,High,Medium,1 ★,3
4095,226662,B. Nieuwkoop,24,71,76,71,RB,€2.6M,€7K,€4.1M,269,295,350,335,302,201,51,1803,391,3 ★,3★,High,Medium,1 ★,13
4097,206436,Y. Benzia,25,71,48,73,CAM,€2.5M,€10K,€6.2M,339,363,345,346,335,117,51,1896,387,4 ★,4★,Medium,Medium,2 ★,13
4098,213092,S. Piette,25,71,48,72,CDM,€2.2M,€5K,€4.1M,223,276,341,336,296,201,51,1724,365,2 ★,2★,Low,High,1 ★,12
4099,221284,J. Gradit,27,71,74,73,CB,€2.1M,€22K,€5.4M,239,248,335,331,256,214,54,1677,366,3 ★,2★,Medium,High,1 ★,10
4100,210021,H. Mukhtar,25,71,76,74,RM,€2.8M,€6K,€4.7M,296,339,399,343,280,133,55,1845,389,5 ★,3★,High,Medium,1 ★,28
4101,210533,João Schmidt,27,71,71,71,CM,€2M,€5K,€3M,329,370,275,376,342,207,53,1952,404,3 ★,3★,Medium,Medium,1 ★,5
4103,192613,C. Pantilimon,33,71,71,71,GK,€600K,€12K,€2.6M,97,100,195,212,138,52,352,1146,389,2 ★,1★,Medium,Medium,1 ★,8
4104,211302,G. Lapadula,30,42,71,71,ST,€1.8M,€13K,€4.1M,334,315,370,320,304,54,62,1759,357,3 ★,3★,High,Low,2 ★,18
4105,251503,Mateus Pasinato,28,71,71,71,GK,€1.3M,€7K,€3.6M,63,73,160,176,113,33,352,970,373,3 ★,1★,Medium,Medium,1 ★,3
4106,188271,F. Ayité,31,71,71,71,LM,€1.6M,€12K,€4.2M,323,341,393,355,258,98,57,1825,392,4 ★,3★,Medium,Medium,1 ★,5
4107,207472,G. Sakai,29,71,71,71,LB,€1.6M,€7K,€2.6M,281,338,360,340,318,207,50,1894,401,5 ★,3★,High,Medium,2 ★,4
4108,218746,Pozo,24,71,78,75,CAM,€3.7M,€5K,€5.9M,338,355,372,315,298,184,38,1900,406,4 ★,3★,High,Medium,1 ★,43
4109,247671,B. Al Ahbabi,29,42,71,71,RM,€1.8M,€900,€4.9M,306,341,400,276,283,174,65,1845,389,2 ★,3★,High,High,1 ★,2
4110,248695,W. Fofana,19,71,83,73,CB,€4.2M,€20K,€8M,238,246,314,293,266,219,55,1631,356,2 ★,2★,Medium,Medium,1 ★,146
4111,242530,N. Okafor,20,71,82,72,ST,€4.1M,€13K,€7M,329,329,362,364,255,85,50,1774,393,4 ★,3★,Medium,Low,1 ★,57
4112,199266,Ji Dong Won,29,71,71,72,ST,€1.9M,€19K,€4.3M,330,331,342,362,329,99,64,1857,387,4 ★,3★,Medium,Medium,2 ★,5
4113,176481,M. Erdinç,33,42,71,71,ST,€1.2M,€11K,€3M,335,323,351,365,325,119,53,1871,388,3 ★,3★,High,High,2 ★,9
4114,188782,M. Morrison,32,71,42,71,CB,€1.2M,€9K,€2.9M,228,214,278,307,251,213,37,1528,319,3 ★,2★,Medium,High,1 ★,11
4115,213612,H. Aiesh,25,71,73,72,RM,€2.4M,€4K,€3.8M,276,297,413,338,308,122,52,1806,402,4 ★,4★,Medium,Medium,1 ★,8
4116,224103,E. Aguirre,23,71,80,72,RM,€4M,€9K,€6.3M,278,294,398,349,317,191,50,1877,411,3 ★,3★,High,Medium,1 ★,36
4117,223596,S. Prevljak,25,71,75,73,ST,€2.6M,€9K,€4.9M,334,321,337,359,279,53,60,1743,366,3 ★,3★,Medium,Medium,1 ★,6
4118,241004,F. Carballo,23,71,78,73,CM,€3.7M,€750,€7.9M,306,338,351,355,323,190,48,1911,403,3 ★,2★,High,Medium,1 ★,8
4119,251756,R. Nteka,22,71,82,73,ST,€4.2M,€6K,€7.2M,325,304,372,369,331,187,51,1939,418,2 ★,3★,Medium,Medium,1 ★,74
4120,192620,H. Badstuber,31,71,71,71,CB,€1.3M,€14K,€3.2M,300,313,204,306,314,216,48,1701,343,3 ★,2★,Medium,Medium,2 ★,24
4121,193900,J. Hunt,29,71,71,71,RWB,€1.6M,€25K,€3.8M,275,293,372,343,296,200,58,1837,399,2 ★,3★,Medium,Medium,1 ★,6
4122,253294,A. Méndez,24,71,77,72,CB,€2.8M,€650,€7M,255,242,373,320,283,208,63,1744,393,2 ★,2★,Medium,High,1 ★,22
4123,224367,G. Lanaro,34,71,42,71,CB,€600K,€8K,€1.2M,209,214,230,342,237,211,51,1494,321,2 ★,2★,Low,High,1 ★,5
4124,221793,P. Twumasi,26,71,72,71,LM,€2.2M,€17K,€4.7M,313,302,371,319,259,86,73,1723,370,3 ★,3★,Medium,Low,1 ★,8
4125,178031,P. Baysse,32,71,71,71,CB,€1.2M,€18K,€3M,273,276,277,322,306,211,59,1724,359,3 ★,2★,Medium,Medium,1 ★,6
4126,235623,Álvaro Jiménez,25,42,74,72,RM,€2.5M,€6K,€4.9M,321,324,375,335,294,128,41,1818,393,3 ★,3★,High,Medium,1 ★,6
4127,186982,A. Büttner,31,71,71,71,LM,€1.6M,€6K,€3.2M,330,360,359,347,358,212,57,2023,420,3 ★,3★,High,Medium,1 ★,9
4128,199776,L. Caldirola,29,71,71,71,CB,€1.6M,€11K,€3.6M,275,292,274,316,278,211,47,1693,353,3 ★,2★,Medium,Medium,2 ★,6
4129,235875,Pol Lirola,22,71,76,75,RM,€2.9M,€25K,€5.7M,310,319,366,312,298,217,51,1873,404,3 ★,3★,Medium,High,1 ★,15
4130,218208,C. Fuentes,27,71,74,72,CDM,€2.2M,€6K,€3.8M,288,295,364,372,287,199,47,1852,402,3 ★,3★,Medium,Medium,1 ★,8
4131,244832,S. Ferreira,22,71,78,73,ST,€3.8M,€800,€8.2M,309,313,346,335,276,71,42,1692,359,3 ★,3★,Medium,Medium,1 ★,18
4132,190560,O. Gonzalez,31,71,71,71,CB,€1.3M,€5K,€2.7M,244,219,247,327,254,209,67,1567,337,3 ★,2★,Low,High,1 ★,5
4133,199288,A. Losilla,34,71,42,71,CDM,€650K,€11K,€1.4M,313,306,315,362,295,201,51,1843,387,3 ★,3★,High,High,1 ★,4
4134,218744,J. Byrne,24,71,76,72,CAM,€2.8M,€3K,€5.2M,306,348,377,352,310,156,41,1890,405,3 ★,3★,Medium,Low,1 ★,39
4135,211321,M. Konaté,27,71,71,71,ST,€2M,€5K,€4.5M,334,278,362,356,266,44,44,1684,358,4 ★,3★,High,High,1 ★,43
4136,185204,Diego Ângelo,34,71,71,71,CB,€600K,€11K,€1.8M,294,319,189,343,310,217,57,1729,362,2 ★,2★,Medium,High,1 ★,3
4137,200818,Bruno Uvini,29,42,72,72,CB,€1.7M,€22K,€3.9M,216,237,205,336,278,206,71,1549,327,2 ★,2★,Low,Medium,1 ★,5
4138,163186,G. Gillet,36,71,71,71,CDM,€375K,€7K,€750K,334,337,298,366,360,205,60,1960,400,3 ★,3★,High,High,2 ★,6
4139,233075,Garrido,30,71,71,71,CDM,€1.6M,€16K,€4.4M,234,264,223,343,310,203,55,1632,353,3 ★,2★,Medium,High,1 ★,4
4140,251763,L. Ranđelović,22,71,78,72,RM,€3.8M,€800,€7.6M,326,322,372,329,267,88,42,1746,379,3 ★,2★,High,Medium,1 ★,14
4141,254067,A. Julio,24,71,75,72,RM,€2.7M,€10K,€5.5M,294,308,384,317,248,81,48,1680,367,3 ★,2★,High,Low,1 ★,7
4142,211060,Elsinho,30,71,71,71,RB,€1.6M,€3K,€2.4M,307,339,331,366,320,200,61,1924,412,3 ★,3★,High,Medium,1 ★,10
4143,230516,Paulao Junqueiras,20,71,42,71,ST,€2.1M,€15K,€5.1M,320,273,227,325,284,65,54,1548,326,4 ★,3★,Medium,Low,1 ★,7
4144,238196,A. Sigurðsson,21,71,81,73,CF,€4.2M,€21K,€7M,317,310,367,333,277,116,43,1763,387,3 ★,3★,High,Low,1 ★,49
4145,200309,T. Darikwa,28,71,71,71,RB,€1.7M,€29K,€3.8M,263,288,371,306,314,205,54,1801,403,2 ★,3★,High,Medium,1 ★,8
4146,230513,Gus Outomouro,24,71,71,72,CF,€2.2M,€16K,€5.1M,349,337,370,346,270,69,51,1792,374,3 ★,3★,Medium,Medium,1 ★,1
4147,202101,O. John,28,71,71,71,LW,€1.9M,€6K,€3.5M,317,357,358,319,266,60,67,1744,367,4 ★,4★,Medium,Medium,2 ★,6
4148,238965,O. Kiomourtzoglou,22,42,77,73,CB,€2.8M,€5K,€5M,253,266,318,348,297,202,54,1738,376,3 ★,2★,Medium,High,1 ★,12
4149,215414,Daniel Guimarães,33,71,71,71,GK,€600K,€6K,€2.7M,74,90,245,202,114,42,342,1109,382,1 ★,1★,Medium,Medium,1 ★,3
4150,219510,E. Ofori,25,71,76,73,CM,€2.7M,€6K,€4.1M,280,334,386,340,326,203,50,1919,401,2 ★,3★,Medium,Medium,1 ★,9
4151,220534,S. Luperto,23,71,79,73,CB,€3.9M,€26K,€0,293,266,285,343,288,223,47,1745,365,3 ★,2★,Low,Medium,1 ★,22
4152,216416,J. Gyamerah,25,71,76,71,RB,€2.6M,€9K,€4.7M,256,296,370,301,272,205,63,1763,387,3 ★,3★,Medium,Medium,1 ★,16
4153,184176,G. Bruno,28,71,71,71,RM,€1.9M,€11K,€3.6M,339,335,354,349,310,65,59,1811,378,3 ★,3★,High,Low,1 ★,7
4154,204895,B. Omrani,26,71,72,72,ST,€2.2M,€11K,€4.1M,338,324,331,361,322,78,53,1807,393,3 ★,3★,High,Low,1 ★,3
4155,199282,A. Abrashi,30,71,42,71,CDM,€1.6M,€14K,€3.6M,243,275,365,348,326,223,70,1850,385,2 ★,2★,Medium,High,1 ★,3
4156,230257,Clayton Fildeiras,24,71,71,71,CAM,€2.2M,€13K,€4.9M,315,357,365,363,354,121,47,1922,401,4 ★,3★,High,Medium,1 ★,1
4157,233849,A. D'Alberto,25,71,74,71,RB,€2.3M,€8K,€5.7M,254,287,358,293,278,208,49,1727,371,2 ★,3★,Medium,Medium,1 ★,6
4158,236924,Bruno Wilson,23,71,79,73,CB,€3.9M,€8K,€0,241,218,251,285,246,219,54,1514,324,3 ★,2★,Medium,High,1 ★,6
4159,234873,M. Pajač,27,71,42,71,LM,€2M,€19K,€4.3M,321,351,341,329,310,182,39,1873,402,2 ★,3★,Medium,High,1 ★,3
4160,189561,B. Koita,29,71,71,71,ST,€1.9M,€11K,€4.8M,324,293,340,351,244,46,43,1641,365,5 ★,3★,Medium,Low,1 ★,4
4161,214906,A. Hughes,28,42,71,71,LB,€1.7M,€18K,€3.8M,256,298,330,310,254,207,58,1713,369,2 ★,2★,Medium,High,1 ★,11
4162,173178,Manolo Reina,35,71,71,71,GK,€210K,€3K,€1M,73,98,300,245,122,40,349,1227,406,3 ★,1★,Medium,Medium,1 ★,5
4163,235888,I. Cardona,22,71,79,73,ST,€4.2M,€12K,€7.7M,340,331,335,358,271,64,52,1751,368,3 ★,3★,High,High,1 ★,12
4164,188538,V. Sasso,29,42,72,72,CB,€1.7M,€12K,€3.4M,236,232,228,271,245,206,49,1467,311,3 ★,2★,Medium,High,1 ★,3
4165,234875,L. Höler,25,71,73,73,ST,€2.4M,€16K,€5.4M,319,245,340,366,290,107,47,1714,367,2 ★,3★,Medium,Medium,1 ★,16
4166,210556,Lucas João,26,71,72,72,ST,€2.2M,€11K,€5.5M,315,281,314,354,263,63,57,1647,365,4 ★,3★,Medium,Low,1 ★,37
4167,225149,J. Butez,25,71,75,71,GK,€2M,€10K,€3.6M,92,95,249,224,117,38,353,1168,397,3 ★,1★,Medium,Medium,1 ★,4
4168,221553,V. Kjartansson,30,71,71,71,ST,€1.8M,€4K,€2.9M,306,272,351,349,283,68,51,1680,353,4 ★,2★,High,Medium,1 ★,3
4169,242045,M. Ashimeru,22,71,78,73,CAM,€3.8M,€15K,€5.6M,294,321,370,344,309,180,59,1877,404,3 ★,3★,Medium,Medium,1 ★,20
4170,188541,P. Schiattarella,33,71,71,72,CAM,€1.2M,€12K,€2.5M,320,342,368,338,331,186,57,1942,415,3 ★,3★,High,High,1 ★,2
4171,240963,J. García,27,71,72,72,ST,€2.2M,€10K,€4.4M,303,253,354,376,281,85,51,1703,371,5 ★,3★,High,Medium,1 ★,4
4172,201342,F. Sørensen,28,71,73,73,CB,€1.9M,€16K,€4.5M,240,263,262,314,281,209,56,1625,356,3 ★,2★,Medium,Medium,1 ★,12
4173,164471,Xisco,34,71,42,71,ST,€900K,€950,€2.6M,340,283,245,368,308,79,52,1675,336,3 ★,2★,Medium,Medium,1 ★,7
4174,215927,R. Emond,28,71,71,71,ST,€1.9M,€18K,€4.8M,338,287,318,344,301,53,58,1699,343,3 ★,2★,Medium,Medium,1 ★,9
4175,177782,H. Özmert,35,71,71,71,CM,€750K,€9K,€2M,334,360,286,351,343,195,59,1928,389,2 ★,3★,Medium,Medium,1 ★,2
4176,232310,Maurício,28,71,72,72,CB,€1.8M,€8K,€0,245,271,277,342,259,204,54,1652,358,3 ★,2★,Low,High,1 ★,1
4177,189491,O. Şahan,33,71,71,71,LM,€1.2M,€10K,€2.8M,329,347,357,324,336,171,49,1913,407,4 ★,3★,Medium,Medium,1 ★,5
4178,198489,J. McClean,31,42,71,71,LW,€1.6M,€20K,€4M,333,345,363,348,343,177,68,1977,414,2 ★,3★,High,High,2 ★,15
