,Age,Rating in Scale 100,Potential in Scale 100,PreferredFoot,BestOverall,BestPosition,MarketValue,WeeklyWage,ReleaseClause,AttackingSkills,SkillAttributes,MovementSkills,PowerSkills,MentalAttributes,Composure,DefendingSkills,GoalkeepingSkills,TotalStats,BaseStats,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,InternationalReputation,Pace,Shooting,Passing,Dribbling.1,Defending,Physical
2133,32,74,74,Right,74,GK,2100000.0,17000.0,5400000.0,91,98,210,253,147,53,51,358,1208,399,3,1,Medium,Medium,1,73,72.0,64,78,41,71
2134,26,74,77,Right,79,RM,5500000.0,15000.0,14500000.0,340,337,441,309,265,67,83,58,1833,392,3,3,High,Medium,1,90,73.0,68,81,29,51
2135,36,74,74,Right,74,ST,1400000.0,12000.0,2800000.0,369,312,286,344,317,79,88,45,1761,356,3,2,Medium,Medium,3,48,79.0,63,63,35,68
2137,33,74,74,Right,74,CDM,2100000.0,8000.0,4099999.9999999995,268,291,263,348,314,72,214,60,1758,364,2,3,Low,Medium,1,40,45.0,64,64,71,80
2138,27,74,74,Left,74,LM,4500000.0,43000.0,11400000.0,335,301,397,369,349,65,210,43,2004,439,2,3,High,Medium,1,86,68.0,66,74,69,76
2139,28,74,74,Right,74,RB,3800000.0,20000.0,9100000.0,304,285,356,303,297,73,213,59,1817,391,3,2,Medium,High,1,73,49.0,60,68,71,70
2140,28,74,74,Right,74,CM,4200000.0,16000.0,8300000.000000001,346,360,371,350,348,75,209,54,2038,422,3,3,High,High,1,69,68.0,74,75,70,66
2141,32,74,74,Right,74,CDM,2800000.0,15000.0,7400000.0,340,353,312,352,359,74,210,65,1991,414,3,3,Medium,Medium,1,60,67.0,72,71,71,73
2142,29,74,74,Left,74,LWB,3700000.0,26000.0,9200000.0,316,345,361,337,325,65,213,43,1940,410,2,3,High,Medium,1,72,60.0,71,71,69,67
2143,22,74,82,Right,75,CDM,9000000.0,16000.0,12800000.0,297,318,344,349,329,69,211,48,1896,409,3,2,Medium,Medium,1,68,53.0,69,72,71,76
2144,28,74,74,Left,74,RM,4200000.0,51000.0,10500000.0,336,375,380,339,318,63,115,51,1914,414,4,3,High,Low,2,80,68.0,74,78,43,71
2145,21,74,83,Right,76,RM,9500000.0,26000.0,17100000.0,328,343,379,342,286,76,70,57,1805,397,4,4,High,Low,1,86,72.0,64,79,27,69
2146,25,74,77,Left,76,CAM,5500000.0,21000.0,15200000.0,310,366,373,303,321,66,151,60,1884,389,3,4,Medium,Medium,1,72,66.0,75,77,49,50
2147,31,74,74,Right,74,ST,3600000.0,23000.0,10500000.0,349,337,370,356,313,78,109,49,1883,398,4,3,High,Medium,2,75,76.0,63,75,43,66
2148,27,74,77,Right,74,GK,4099999.9999999995,18000.0,7700000.0,76,81,274,228,114,23,49,359,1181,403,4,1,Medium,Medium,1,77,71.0,62,79,44,70
2149,30,74,74,Right,76,CB,4099999.9999999995,24000.0,9400000.0,372,337,311,393,342,72,226,50,2031,436,3,2,High,High,2,67,71.0,73,71,74,80
2150,31,74,74,Right,74,CB,2900000.0,13000.0,8400000.0,252,227,232,327,277,67,220,57,1592,341,3,2,Low,Medium,1,48,35.0,56,49,74,79
2153,23,74,78,Left,76,CAM,6000000.0,44000.0,0.0,324,357,400,327,329,65,129,41,1907,408,4,4,Medium,Low,1,84,66.0,71,79,44,64
2154,32,74,74,Right,75,RWB,3300000.0,27000.0,7900000.0,358,347,338,363,336,72,222,64,2028,430,3,4,Medium,High,2,70,67.0,73,73,74,73
2155,25,74,77,Left,76,CM,5500000.0,14000.0,11400000.0,348,373,358,385,350,73,198,55,2067,429,3,3,High,Medium,1,67,68.0,74,74,69,77
2156,24,74,74,Left,75,LM,4900000.0,22000.0,11400000.0,348,382,362,322,306,67,77,50,1847,388,3,3,Medium,Medium,1,72,65.0,76,77,35,63
2157,23,74,80,Right,75,CAM,6500000.0,19000.0,16500000.0,318,370,394,331,321,68,130,47,1911,397,3,4,Medium,Medium,1,74,69.0,72,78,44,60
2159,19,74,84,Left,76,CAM,9000000.0,16000.0,20700000.0,320,388,376,287,292,71,77,57,1797,371,3,4,High,Low,1,69,72.0,75,79,28,48
2161,28,74,74,Right,74,CAM,4200000.0,50000.0,0.0,313,378,351,366,334,70,208,46,1996,427,3,3,Medium,Medium,1,71,70.0,75,76,65,70
2162,28,74,74,Right,74,CAM,4200000.0,21000.0,10500000.0,353,367,365,348,307,75,63,76,1879,380,3,4,High,Medium,1,70,73.0,73,75,26,63
2164,29,74,74,Right,74,CDM,3600000.0,8000.0,7200000.0,323,351,368,368,339,70,216,40,2005,428,3,3,High,High,1,73,65.0,69,74,71,76
2165,27,74,75,Right,76,CM,4900000.0,25000.0,14800000.0,325,365,324,331,360,75,201,64,1970,409,4,3,Medium,Medium,1,60,71.0,76,72,66,64
2166,36,74,74,Right,74,RB,925000.0,17000.0,2000000.0,315,349,364,335,359,71,218,53,1993,415,3,3,High,Medium,2,70,61.0,71,74,71,68
2167,25,74,77,Left,76,CAM,5500000.0,8000.0,11000000.0,286,366,399,330,315,65,176,51,1923,416,3,4,High,Medium,1,82,67.0,72,77,53,65
2168,33,74,74,Right,74,CB,2000000.0,850.0,5900000.0,305,309,363,343,328,78,225,58,1931,411,3,2,Medium,High,1,71,54.0,66,70,75,75
2169,25,74,78,Right,75,CDM,5500000.0,15000.0,12200000.0,313,314,325,347,328,68,217,52,1896,407,3,3,Medium,Medium,1,62,61.0,69,73,72,70
2170,30,74,74,Right,74,LM,4099999.9999999995,18000.0,12100000.0,303,364,384,313,312,65,138,58,1872,400,4,3,Medium,Medium,1,77,72.0,72,75,43,61
2171,30,74,74,Right,75,CAM,4099999.9999999995,950.0,12100000.0,311,301,351,365,365,75,203,56,1952,428,3,3,High,Medium,1,67,72.0,74,70,69,76
2174,24,74,74,Right,74,CB,4200000.0,24000.0,9900000.0,299,292,338,368,315,65,230,294,2136,405,3,2,High,High,1,75,56.0,60,63,76,75
2175,31,74,74,Right,74,CM,3500000.0,27000.0,8600000.0,344,364,316,368,363,75,212,54,2021,418,3,3,High,Medium,2,59,69.0,73,71,71,75
2176,32,74,74,Left,74,CDM,2800000.0,24000.0,7800000.0,334,371,320,368,323,64,217,46,1979,410,3,2,Medium,Medium,1,59,65.0,77,66,71,72
2179,31,74,74,Left,74,RM,3500000.0,9000.0,8800000.0,323,348,370,339,336,70,187,64,1967,412,3,4,Medium,High,1,71,62.0,73,73,62,71
2181,25,74,76,Right,75,RM,5500000.0,8000.0,10700000.0,315,332,389,323,274,74,113,51,1797,391,4,3,High,Medium,1,83,66.0,69,75,37,61
2183,31,74,74,Right,74,RB,3100000.0,950.0,9000000.0,327,284,362,339,324,65,214,55,1905,413,3,3,Medium,High,1,76,58.0,65,68,71,75
2184,28,74,75,Right,75,CB,4000000.0,23000.0,8700000.0,292,331,307,383,312,70,218,61,1904,386,5,2,Medium,Medium,1,48,60.0,66,65,75,72
2185,28,74,74,Right,74,CB,3600000.0,28000.0,9300000.0,294,277,277,346,315,75,231,53,1793,367,3,2,Medium,Medium,1,56,50.0,61,49,76,75
2187,36,74,74,Left,74,CB,750000.0,17000.0,2200000.0,276,289,332,329,316,72,227,53,1822,376,2,2,Low,High,2,61,44.0,62,59,75,75
2188,28,74,74,Right,74,CB,3600000.0,22000.0,9300000.0,284,263,305,341,300,69,228,51,1772,366,3,2,Medium,Medium,1,58,50.0,58,51,75,74
2189,20,74,74,Left,74,CB,4099999.9999999995,9000.0,10500000.0,293,313,286,316,285,65,221,52,1766,378,3,2,Medium,Medium,1,59,50.0,61,59,73,76
2191,28,74,75,Left,75,CB,4000000.0,26000.0,11400000.0,274,280,329,330,323,65,224,53,1813,387,2,2,High,Medium,2,70,37.0,67,60,74,79
2192,32,74,74,Right,75,CAM,3400000.0,33000.0,8600000.0,355,356,357,353,312,76,82,51,1866,387,3,3,Medium,High,1,65,72.0,72,77,33,68
2193,35,74,74,Right,74,CB,1100000.0,18000.0,3400000.0,257,254,265,292,277,66,230,48,1623,349,3,2,Medium,Medium,2,42,31.0,61,64,76,75
2194,24,74,79,Right,75,CM,6000000.0,800.0,15900000.0,322,355,357,359,340,73,212,41,1986,424,3,2,Medium,Medium,1,71,63.0,71,74,71,74
2195,32,74,74,Right,74,RB,2900000.0,13000.0,7000000.0,315,351,392,317,282,70,214,49,1920,399,4,3,High,Medium,1,75,62.0,74,70,69,49
2196,31,74,74,Right,74,CM,3500000.0,950.0,10600000.0,334,340,360,368,357,81,211,56,2026,430,3,3,Medium,Medium,1,70,63.0,70,75,71,81
2197,27,74,76,Right,76,CB,4500000.0,950.0,13700000.0,285,265,341,344,311,70,227,51,1824,397,3,2,Medium,Medium,1,70,51.0,61,63,75,77
2198,17,74,87,Right,75,ST,9500000.0,500.0,26800000.0,350,348,376,363,302,72,82,51,1872,396,4,3,High,Medium,1,77,71.0,68,75,32,73
2199,29,74,74,Right,74,ST,4200000.0,19000.0,9900000.0,335,296,396,359,321,72,70,61,1838,395,3,3,High,Medium,1,85,74.0,62,72,30,72
2200,28,74,74,Left,74,LB,3800000.0,24000.0,10600000.0,306,297,369,351,308,69,216,46,1893,407,3,2,High,Medium,1,76,59.0,63,65,70,74
2201,27,74,74,Right,74,LM,4500000.0,22000.0,10200000.0,309,315,402,336,287,60,105,52,1806,396,3,3,High,Medium,1,84,66.0,65,77,35,69
2202,28,74,74,Right,74,CDM,3700000.0,12000.0,9500000.0,291,350,321,348,373,66,224,62,1969,408,3,2,High,High,1,64,59.0,72,63,73,77
2203,31,74,74,Left,74,ST,3600000.0,18000.0,10000000.0,359,356,374,384,317,75,70,65,1925,403,4,3,High,Low,2,77,75.0,71,73,29,78
2204,26,74,75,Right,76,CAM,5000000.0,19000.0,0.0,321,371,418,288,243,69,47,48,1736,372,3,3,Medium,Low,2,84,68.0,70,81,20,49
2205,30,74,74,Right,75,CAM,0.0,0.0,0.0,290,359,368,322,282,66,154,49,1824,402,3,3,Medium,Medium,1,78,65.0,72,76,49,62
2206,24,74,74,Left,74,LB,4400000.0,11000.0,10500000.0,312,303,347,334,350,66,214,52,1912,405,3,2,High,High,1,71,53.0,65,71,72,73
2207,29,74,74,Right,74,CB,3500000.0,900.0,9900000.0,245,213,329,336,276,69,223,66,1688,362,3,2,Low,Medium,1,65,44.0,51,50,74,78
2208,26,74,79,Right,75,CDM,5500000.0,15000.0,10200000.0,293,350,367,366,348,68,218,61,2003,421,2,3,Medium,High,1,74,61.0,70,71,72,73
2209,29,74,74,Right,75,CDM,3600000.0,14000.0,8199999.999999999,323,349,415,386,349,74,208,60,2090,447,3,3,High,Medium,1,91,65.0,70,73,70,78
2211,32,74,74,Left,74,LB,2900000.0,38000.0,6000000.0,292,331,336,343,308,72,225,56,1891,393,2,2,Medium,High,2,66,48.0,66,65,75,73
2213,29,74,75,Left,75,CB,3900000.0,27000.0,12000000.0,258,249,299,344,293,61,223,53,1719,359,4,2,Medium,High,2,59,42.0,53,51,74,80
2214,28,74,75,Right,75,CB,4000000.0,23000.0,8700000.0,300,292,325,372,324,66,224,42,1879,398,3,2,Medium,Medium,1,64,57.0,62,61,74,80
2216,19,74,85,Right,76,CAM,9000000.0,26000.0,18100000.0,313,357,390,346,281,71,98,63,1848,397,3,4,Medium,Medium,1,78,67.0,70,80,36,66
2218,21,74,85,Right,76,ST,9500000.0,67000.0,0.0,337,347,396,359,292,77,93,61,1885,396,2,3,High,Low,1,79,74.0,66,77,33,67
2219,32,74,74,Right,74,ST,3400000.0,42000.0,7200000.0,332,293,357,358,351,76,98,56,1845,397,4,3,Medium,Low,2,76,73.0,60,68,41,79
2220,19,74,86,Right,75,RM,10000000.0,41000.0,21000000.0,316,358,398,323,257,67,91,58,1801,387,3,4,High,Medium,1,85,64.0,67,81,30,60
2221,32,74,74,Right,75,CDM,3300000.0,16000.0,7700000.0,336,374,339,371,346,72,216,47,2029,426,3,3,Medium,Medium,1,63,64.0,74,76,72,77
2224,23,74,81,Left,76,LWB,8000000.0,7000.0,12600000.0,323,368,374,386,318,58,209,44,2022,437,3,3,Medium,Medium,1,82,64.0,72,74,70,75
2225,30,74,74,Left,74,GK,2800000.0,7000.0,5700000.0,98,115,245,243,132,54,49,365,1247,409,3,1,Medium,Medium,1,74,71.0,70,73,44,77
2227,29,74,74,Right,74,CM,4099999.9999999995,15000.0,8300000.000000001,362,356,320,339,353,78,191,38,1959,409,3,3,Medium,Medium,1,57,72.0,77,71,66,66
2228,27,74,74,Right,74,RM,4500000.0,35000.0,10200000.0,320,339,379,347,304,68,104,40,1833,394,3,3,Medium,Medium,1,75,68.0,68,78,37,68
2229,38,74,74,Right,74,GK,475000.0,21000.0,1000000.0,95,122,260,238,162,68,43,363,1283,400,3,1,Medium,Medium,2,74,71.0,66,79,37,73
2230,24,74,79,Right,76,ST,6500000.0,25000.0,0.0,339,314,358,332,263,66,57,46,1709,371,3,3,Medium,Medium,1,76,73.0,60,74,27,61
2232,36,74,74,Right,75,RM,1400000.0,12000.0,3800000.0,357,368,391,346,376,77,180,56,2074,431,3,4,High,High,2,74,69.0,74,79,62,73
2233,21,74,84,Left,76,CAM,9500000.0,17000.0,19800000.0,309,369,350,298,334,73,183,39,1882,397,3,4,Medium,Medium,1,68,65.0,73,76,61,54
2234,28,74,74,Right,75,CAM,4200000.0,25000.0,9400000.0,344,365,364,377,359,74,210,60,2079,443,4,3,High,Medium,1,74,74.0,73,76,71,75
2235,30,74,74,Right,74,ST,4099999.9999999995,9000.0,8300000.000000001,335,332,319,370,329,68,73,63,1821,384,4,3,Medium,Low,3,67,75.0,61,69,32,80
2236,24,74,79,Right,75,CDM,6000000.0,11000.0,11000000.0,280,339,346,372,315,68,217,56,1925,408,3,3,Medium,Medium,1,68,52.0,69,68,72,79
2237,24,74,81,Right,76,CB,8000000.0,12000.0,11200000.0,317,264,363,356,333,73,217,57,1907,411,3,2,Medium,High,1,75,54.0,65,68,72,77
2239,26,74,76,Left,74,LB,4800000.0,15000.0,11300000.0,284,309,307,324,287,72,220,54,1785,389,3,3,Medium,High,1,67,42.0,67,68,72,73
2240,27,74,77,Right,74,GK,4099999.9999999995,12000.0,0.0,88,77,253,235,114,41,38,358,1163,403,2,1,Medium,Medium,1,75,71.0,64,75,45,73
2241,25,74,77,Left,76,CB,5000000.0,15000.0,11900000.0,267,241,309,330,294,65,217,49,1707,383,2,2,Medium,High,1,67,37.0,58,65,74,82
2244,33,74,74,Right,74,RB,2200000.0,16000.0,5000000.0,320,326,346,355,357,69,215,50,1969,412,3,2,High,Medium,1,66,59.0,73,70,70,74
2245,23,74,78,Right,76,ST,6000000.0,41000.0,12600000.0,328,303,335,364,302,70,114,42,1788,388,3,2,High,Low,1,71,75.0,58,71,41,72
2247,34,74,74,Right,74,RM,2000000.0,49000.0,5300000.0,316,354,365,362,328,76,173,50,1948,421,4,3,Medium,High,2,78,65.0,70,76,58,74
2248,30,74,74,Right,74,RM,4099999.9999999995,14000.0,11000000.0,304,323,420,275,275,65,126,54,1777,385,4,3,High,Medium,1,83,63.0,68,77,44,50
2249,30,74,74,Right,74,CB,3500000.0,25000.0,7800000.0,313,266,313,337,285,69,232,55,1801,382,3,2,Medium,Medium,2,59,62.0,56,62,77,66
2250,28,74,75,Right,75,CB,4000000.0,36000.0,9200000.0,256,265,305,295,285,75,227,59,1692,368,3,2,Medium,High,1,62,40.0,55,62,76,73
2251,23,74,81,Right,76,CM,8500000.0,21000.0,15200000.0,343,353,372,365,339,70,212,42,2026,434,4,3,Medium,High,1,74,67.0,73,74,71,75
2252,21,74,84,Right,75,CAM,9500000.0,29000.0,17100000.0,326,344,412,332,289,74,106,44,1853,400,4,4,High,Medium,1,88,71.0,66,80,37,58
2253,20,74,83,Right,74,RWB,9000000.0,53000.0,0.0,319,317,365,314,316,67,211,48,1890,410,3,3,High,Medium,1,76,61.0,67,76,69,61
2254,27,74,75,Right,75,CB,4200000.0,29000.0,9800000.0,281,233,293,321,291,65,217,59,1695,361,3,2,Low,High,1,63,36.0,57,53,74,78
2255,29,74,74,Right,74,RB,0.0,0.0,0.0,338,300,387,338,300,73,203,59,1925,428,3,4,High,Medium,1,85,68.0,65,75,66,69
2256,34,74,74,Right,74,ST,2100000.0,29000.0,6000000.0,372,346,333,362,336,77,128,41,1918,401,3,3,High,Medium,2,63,75.0,72,73,46,72
2257,27,74,75,Right,76,RM,4900000.0,34000.0,11500000.0,345,377,370,369,293,70,129,57,1940,415,4,4,High,Medium,1,77,71.0,72,79,45,71
2258,22,74,84,Left,74,LB,9000000.0,26000.0,16800000.0,291,301,371,317,283,79,215,44,1822,399,3,3,High,High,1,78,51.0,62,72,70,66
2261,27,74,75,Right,74,GK,3600000.0,43000.0,9100000.0,80,113,251,215,117,56,46,361,1183,406,3,1,Medium,Medium,1,75,72.0,66,75,45,73
2262,27,74,74,Right,74,CAM,4500000.0,17000.0,9000000.0,316,381,377,335,308,76,159,55,1931,409,3,4,High,Medium,1,75,66.0,75,78,54,61
2263,22,74,82,Right,76,CAM,9500000.0,34000.0,15200000.0,321,358,366,368,345,71,183,43,1984,415,2,3,Medium,Medium,1,67,70.0,72,75,62,69
2264,33,74,74,Right,74,LM,2600000.0,49000.0,6500000.0,365,373,337,324,373,79,192,52,2016,412,4,4,High,High,3,61,72.0,77,76,64,62
2265,28,74,74,Right,75,RW,4200000.0,15000.0,8500000.0,326,303,423,374,290,62,66,57,1839,403,4,4,High,Low,1,93,71.0,63,77,29,70
2266,28,74,74,Right,74,CDM,3700000.0,21000.0,9000000.0,262,290,326,330,316,71,219,55,1798,396,3,2,Medium,High,1,65,51.0,62,67,72,79
2268,25,74,79,Right,76,CB,5500000.0,20000.0,14100000.0,248,230,304,308,259,66,225,51,1625,351,3,2,Low,High,1,59,41.0,48,53,74,76
2269,26,74,75,Left,74,LM,5000000.0,23000.0,0.0,339,338,355,292,312,65,215,67,1918,404,3,3,Medium,High,1,68,59.0,75,72,70,60
2270,26,74,76,Right,76,CB,4600000.0,850.0,13700000.0,249,307,364,338,294,72,224,48,1824,398,3,3,High,High,1,77,39.0,63,69,74,76
2273,25,74,77,Right,76,CB,5000000.0,18000.0,13500000.0,257,257,302,357,308,71,219,60,1760,371,2,2,Medium,High,1,57,48.0,59,54,74,79
2274,24,74,79,Right,76,CB,6000000.0,12000.0,10300000.0,227,228,308,308,267,62,225,69,1632,360,3,2,Medium,Medium,1,69,34.0,55,50,75,77
2275,34,74,74,Left,74,GK,725000.0,10000.0,5000000.0,91,107,198,224,119,64,49,367,1155,399,2,1,Medium,Medium,2,73,74.0,70,73,32,77
2276,32,74,74,Right,74,CB,2700000.0,60000.0,6100000.0,235,254,199,281,269,69,231,65,1534,324,3,2,Low,Medium,2,32,32.0,57,58,78,67
2277,27,74,75,Left,78,CDM,4800000.0,40000.0,11500000.0,328,335,360,386,344,76,229,39,2021,429,3,3,Medium,High,2,70,63.0,73,72,76,75
2279,20,74,81,Right,74,RW,8500000.0,8000.0,13200000.0,293,330,430,300,248,67,72,56,1729,375,5,3,High,Low,1,93,67.0,64,77,25,49
2280,31,74,74,Left,74,LB,3100000.0,39000.0,7800000.0,284,331,327,311,345,66,221,61,1880,395,3,3,Medium,High,2,66,40.0,69,69,74,77
2281,34,74,74,Right,74,CM,1900000.0,26000.0,4900000.0,365,341,236,363,363,78,223,57,1948,395,4,2,Medium,Medium,2,33,73.0,73,67,75,74
2282,39,74,74,Right,74,GK,475000.0,10000.0,949000.0,73,81,237,226,159,59,49,362,1187,399,2,1,Medium,Medium,1,76,74.0,68,75,37,69
2283,30,74,74,Right,74,CB,3500000.0,800.0,10100000.0,292,312,350,359,291,65,223,41,1868,401,3,3,Low,High,2,69,50.0,66,64,73,79
2284,36,74,74,Right,74,ST,1400000.0,37000.0,0.0,355,281,258,326,355,80,96,62,1733,338,3,2,Low,Medium,1,30,75.0,59,66,42,66
2285,29,74,74,Right,74,CDM,3600000.0,8000.0,7200000.0,275,317,326,342,330,72,202,61,1853,384,3,3,Medium,High,1,54,47.0,67,71,69,76
2286,30,74,74,Right,74,CB,3500000.0,23000.0,9200000.0,227,231,217,320,264,70,224,56,1539,325,5,2,Low,Medium,1,34,34.0,50,53,75,79
2287,25,74,79,Right,76,CB,5500000.0,39000.0,12800000.0,280,252,272,293,294,75,221,50,1662,367,3,2,Medium,Medium,2,58,44.0,61,55,74,75
2288,19,74,86,Left,75,CAM,10000000.0,8000.0,22000000.0,313,330,410,319,305,78,127,57,1861,402,3,4,High,Low,1,85,66.0,65,79,43,64
2289,30,74,74,Right,74,GK,2800000.0,11000.0,7200000.0,92,95,273,228,134,62,41,358,1221,412,2,1,Medium,Medium,2,74,73.0,64,75,54,72
2290,22,74,81,Right,76,CAM,8500000.0,19000.0,16000000.0,332,339,361,347,349,75,178,55,1961,416,3,3,High,High,1,71,71.0,70,72,61,71
2291,32,74,74,Right,74,LM,3300000.0,14000.0,8800000.0,340,369,360,334,311,73,134,60,1908,394,4,4,Medium,Medium,2,72,69.0,72,77,43,61
2292,24,74,80,Right,76,ST,6500000.0,16000.0,0.0,340,309,365,355,248,69,68,52,1737,378,4,3,High,Medium,1,77,73.0,62,77,25,64
2293,23,74,80,Left,75,LM,6500000.0,71000.0,0.0,309,339,398,338,294,63,124,46,1848,398,3,4,High,Medium,1,81,65.0,67,77,40,68
2294,24,74,79,Right,76,ST,6500000.0,34000.0,14800000.0,342,328,337,349,318,72,105,51,1830,387,3,3,Medium,Low,1,69,74.0,61,74,38,71
2295,34,74,74,Right,74,LM,2000000.0,1000.0,6200000.0,349,366,362,341,366,72,205,61,2050,420,4,4,High,Medium,2,71,75.0,73,73,68,60
2297,36,74,74,Right,74,LB,925000.0,650.0,2200000.0,323,346,365,363,361,79,219,54,2031,428,3,3,Medium,Medium,2,75,63.0,70,71,72,77
2298,25,74,77,Left,75,LM,5500000.0,13000.0,0.0,327,351,409,356,257,68,65,48,1813,390,3,3,Medium,Medium,1,89,70.0,65,77,25,64
2299,25,74,81,Right,76,CB,7500000.0,800.0,16800000.0,211,173,295,267,244,68,225,62,1477,322,3,2,Medium,Medium,1,65,23.0,43,40,77,74
2300,21,74,82,Right,76,CB,9000000.0,29000.0,0.0,256,234,328,308,256,73,224,47,1653,364,3,2,Medium,High,1,68,35.0,59,56,75,71
2301,21,74,81,Right,76,ST,8500000.0,14000.0,0.0,336,325,391,363,294,67,114,46,1869,401,4,3,High,Medium,1,83,75.0,62,72,38,71
2302,28,74,74,Right,74,RM,4200000.0,18000.0,0.0,322,316,411,347,312,73,93,56,1857,402,3,3,High,Low,1,88,71.0,65,76,36,66
2303,30,74,74,Left,74,LB,3600000.0,35000.0,7000000.0,328,360,380,354,349,67,215,61,2047,427,3,3,High,Medium,2,77,69.0,72,72,70,67
2304,22,74,79,Right,77,CB,6000000.0,46000.0,13800000.0,259,294,349,318,321,64,234,52,1827,393,3,2,Medium,High,1,69,44.0,61,67,76,76
2305,30,74,74,Left,74,RW,4099999.9999999995,9000.0,8300000.000000001,346,346,384,382,339,69,127,55,1979,420,3,3,High,Medium,1,77,73.0,70,75,48,77
2306,24,74,74,Left,74,CB,4200000.0,16000.0,10500000.0,328,337,338,371,327,76,220,47,1968,419,3,2,Medium,Medium,1,74,63.0,69,68,75,70
2307,26,74,77,Left,75,LWB,5000000.0,39000.0,10700000.0,325,352,376,357,323,64,211,44,1988,421,3,3,High,Medium,1,78,61.0,72,73,70,67
2308,29,74,75,Right,74,GK,3200000.0,750.0,10500000.0,89,76,242,243,104,56,41,369,1164,413,3,1,Medium,Medium,1,75,72.0,71,77,44,74
2309,36,74,74,Right,74,CB,750000.0,18000.0,2000000.0,207,236,262,290,274,75,236,41,1546,324,3,2,Low,Medium,2,43,39.0,49,52,80,61
2311,33,74,74,Right,74,GK,1400000.0,19000.0,5400000.0,77,72,221,233,125,23,42,356,1126,395,3,1,Medium,Medium,1,74,69.0,61,77,39,75
2312,26,74,76,Right,74,LB,4800000.0,26000.0,10700000.0,274,265,379,260,311,62,215,59,1763,393,3,3,High,Medium,1,85,36.0,61,72,70,69
2313,26,74,76,Right,76,CAM,5000000.0,37000.0,13800000.0,341,365,383,345,349,77,150,57,1990,423,4,4,High,Medium,1,76,72.0,71,76,53,75
2314,25,74,75,Right,75,CM,5000000.0,39000.0,0.0,350,360,335,368,340,72,212,49,2014,423,3,3,High,Medium,2,61,70.0,73,76,70,73
2317,23,74,81,Right,76,CM,8500000.0,30000.0,15200000.0,326,375,336,330,331,76,212,48,1958,411,3,3,Medium,Medium,1,64,60.0,75,76,69,67
2318,31,74,74,Right,74,GK,2200000.0,6000.0,5400000.0,106,110,257,231,148,60,47,357,1256,402,3,1,Medium,Medium,1,76,71.0,66,74,45,70
2319,28,74,74,Right,74,ST,4300000.0,56000.0,11400000.0,347,374,345,376,332,82,86,42,1902,404,3,4,High,Medium,3,71,74.0,68,77,36,78
2320,22,74,82,Left,76,CB,9000000.0,19000.0,12800000.0,273,270,333,308,300,67,223,62,1769,383,3,2,Medium,High,1,71,37.0,62,64,73,76
2321,27,74,74,Left,74,CAM,4500000.0,26000.0,11400000.0,317,354,391,346,335,80,158,58,1959,413,3,3,Medium,Medium,1,76,71.0,72,74,53,67
2322,26,74,75,Left,74,LM,5000000.0,21000.0,14100000.0,287,349,398,321,267,59,96,51,1769,376,4,3,High,Medium,1,80,67.0,69,76,32,52
2323,23,74,80,Left,77,CDM,6500000.0,14000.0,15000000.0,322,351,327,351,332,69,221,66,1970,411,3,3,Medium,High,1,55,63.0,73,75,74,71
2324,26,74,76,Left,76,ST,5500000.0,12000.0,9300000.0,325,265,283,369,294,69,56,45,1637,373,3,3,High,Low,1,79,75.0,48,63,29,79
2325,25,74,77,Right,75,CAM,5500000.0,6000.0,9300000.0,311,345,411,319,318,74,113,51,1868,410,3,4,High,Medium,1,88,69.0,69,75,42,67
2327,26,74,78,Left,75,CDM,5500000.0,35000.0,0.0,297,311,332,338,324,74,222,49,1873,414,3,3,High,Medium,1,69,64.0,66,69,73,73
2328,28,74,74,Right,74,LM,4200000.0,34000.0,9400000.0,329,343,386,339,333,69,143,56,1929,418,4,4,High,Medium,1,82,70.0,66,77,48,75
2331,36,74,74,Right,74,ST,1400000.0,14000.0,2800000.0,364,345,337,343,338,77,97,65,1889,376,3,3,High,Low,2,58,74.0,71,71,36,66
2332,22,74,84,Right,76,CB,9000000.0,12000.0,13600000.0,336,336,337,369,350,73,223,44,1995,425,4,3,Medium,High,1,67,65.0,71,69,74,79
2333,32,74,74,Left,74,CB,2700000.0,13000.0,5600000.0,336,308,328,378,326,70,227,51,1954,402,3,3,Medium,High,1,59,60.0,68,59,76,80
2334,30,74,74,Right,74,CB,0.0,0.0,0.0,275,268,328,294,277,75,231,60,1733,377,3,2,Medium,High,1,70,38.0,60,58,77,74
2335,27,74,75,Right,75,ST,4900000.0,28000.0,11500000.0,342,308,384,357,291,65,104,64,1850,401,3,4,High,Medium,1,80,73.0,64,77,37,70
2336,26,74,74,Left,74,LB,4200000.0,26000.0,8500000.0,312,374,369,383,278,68,226,57,1999,422,3,3,Medium,Medium,1,75,64.0,67,72,70,74
2337,28,74,74,Right,74,CB,3600000.0,10000.0,7400000.0,231,219,302,320,245,73,230,51,1598,344,3,2,Medium,High,1,61,36.0,49,46,77,75
2338,26,74,75,Right,74,RM,5000000.0,8000.0,10200000.0,337,337,339,355,346,72,182,46,1942,420,4,3,High,Medium,1,72,66.0,74,71,61,76
2339,28,74,74,Left,75,CAM,4300000.0,24000.0,10200000.0,355,361,385,375,332,74,114,66,1988,417,2,4,Medium,Medium,2,81,74.0,73,75,41,73
